220.84.185.202 #1.dns.noridev.moe
141.94.89.163 #1a.ns.ozer.im
1.1.1.1 #1dot1dot1dot1.cloudflare-dns.com
1.0.0.1 #1dot1dot1dot1.cloudflare-dns.com
anycast.ffmuc.net. #2.dnscrypt-cert.ffmuc.net
5.1.66.255 #2.dnscrypt-cert.ffmuc.net
185.150.99.255 #2.dnscrypt-cert.ffmuc.net
80.147.149.90 #3dns.eu
182.255.33.202 #5g.o0o.re
8.8.4.4 #8888.google
8.8.8.8 #8888.google
140.238.254.180 #a.zpn.me
vps313.brueggus.de. #abe01.dnscry.pt
23.137.253.24 #abe01.dnscry.pt
185.183.159.34 #abel.waringer-atg.de
155.248.185.73 #ad.huyct.net
44.232.93.239 #ad.justincounts.com
130.61.51.39 #ad.tzockt.beer
194.233.164.71 #ad1.heronet.nl
88.210.11.120 #ada.openbld.net
109.199.97.154 #ada.openbld.net
104.152.49.71 #ada.openbld.net
46.151.29.15 #ada.openbld.net
82.65.209.69 #adb-home.xaoimoon.fr
207.154.211.203 #adb.aadityakushwaha.com
198.251.90.89 #adblock.any.dns.nixnet.xyz
dyn-ip.borjalopez.eu. #adblock.borjalopez.eu
83.35.102.89 #adblock.borjalopez.eu
194.242.2.3 #adblock.dns.mullvad.net
adblock.dns.mullvad.net. #adblock.doh.mullvad.net
194.242.2.3 #adblock.doh.mullvad.net
141.148.211.172 #adblock.indianets.net
193.122.103.253 #adblock.leenit.kr
lux1.nixnet.xyz. #adblock.lux1.dns.nixnet.xyz
104.244.78.231 #adblock.lux1.dns.nixnet.xyz
lv1.nixnet.xyz. #adblock.lv1.dns.nixnet.xyz
209.141.34.95 #adblock.lv1.dns.nixnet.xyz
19a8b89bb6b2491ca5cccbeb0e84a4c4.pacloudflare.com. #adblock.mydns.network
172.65.135.187 #adblock.mydns.network
ny1.nixnet.xyz. #adblock.ny1.dns.nixnet.xyz
199.195.251.84 #adblock.ny1.dns.nixnet.xyz
164.90.207.7 #adblockersite.com
81.196.104.182 #addns1.m-it.ro
78.47.163.141 #adfree.usableprivacy.net
89.58.3.251 #adfreedns.top
45.79.156.126 #adg.jnorton.us
172.67.129.133 #adg.rokh.biz
104.21.2.178 #adg.rokh.biz
35.194.211.102 #adg.rueiliu.space
172.67.147.178 #adguard-dns.com
104.21.95.199 #adguard-dns.com
172.67.138.140 #adguard-ironhide.ultima-thule.ru
104.21.46.121 #adguard-ironhide.ultima-thule.ru
130.61.173.117 #adguard-kartoffel.zernico.de
49.12.99.89 #adguard.abd.ong
172.105.52.109 #adguard.avdkishore.dev
47.116.126.216 #adguard.beliefanx.cn
194.59.156.9 #adguard.bonis.de
213.183.86.9 #adguard.bonis.de
109.205.183.11 #adguard.bonsirven.eu
116.118.44.237 #adguard.cloudmini.net
212.86.101.213 #adguard.dekonix.ru
dpeddi.myddns.com. #adguard.depieri.net
188.218.102.24 #adguard.depieri.net
35.230.82.92 #adguard.ef67daisuki.club
astra.ender.fr. #adguard.ender.fr
37.187.158.2 #adguard.ender.fr
oko.haneulo.com. #adguard.haneulo.com
140.238.21.36 #adguard.haneulo.com
116.202.5.154 #adguard.ihatemy.live
184.163.126.251 #adguard.jfchenier.ca
49.13.60.236 #adguard.kiboko.it
202.182.121.233 #adguard.konikoni428.com
45.155.169.203 #adguard.kss.ovh
104.21.66.216 #adguard.leadseason.eu
172.67.164.174 #adguard.leadseason.eu
mimile.despagne.net. #adguard.lege.despagne.net
mimile.despagne.ovh. #adguard.lege.despagne.net
82.66.195.182 #adguard.lege.despagne.net
193.95.243.186 #adguard.marto.si
130.61.24.160 #adguard.meddy94.de
51.89.26.38 #adguard.oms-ctr.ru
onlyfriends.info. #adguard.onlyfriends.info
88.87.69.93 #adguard.onlyfriends.info
piekacz.pl. #adguard.piekacz.pl
89.72.125.172 #adguard.piekacz.pl
192.248.190.14 #adguard.ruby.ci
50.116.59.251 #adguard.shoupperuser.com
37.120.187.202 #adguard.shutgaming.net
114.34.0.56 #adguard.shuting.idv.tw
104.21.65.20 #adguard.sparshbajaj.me
172.67.139.99 #adguard.sparshbajaj.me
140.238.52.143 #adguard.sscw.win
104.21.93.221 #adguard.twotigers.xyz
172.67.216.77 #adguard.twotigers.xyz
5.254.39.66 #adguard.wirimij.nl
152.69.185.118 #adguard.zachitect.com
adguard1.njy.jsanagustin.net. #adguard1.jsanagustin.net
108.61.82.9 #adguard1.jsanagustin.net
204.9.92.87 #adguard1.leadmon.net
srv-revprox-01.atakorah.com. #adguardhome.atakorah.com
209.250.246.198 #adguardhome.atakorah.com
163.47.117.176 #adl.adfilter.net
103.216.113.195 #ads.hunga1k47.com
185.228.168.10 #adult-filter-dns.cleanbrowsing.org
102.165.60.32 #africa.avastdns.com
196.251.250.189 #africa.avastdns.com
102.165.20.68 #africa.avastdns.com
84.32.84.33 #ag.brianlee.fun
heimdall.ff0x.ca. #ag.ff0x.ca
137.184.171.250 #ag.ff0x.ca
202.61.228.146 #ag.marschi.de
103.1.223.110 #agh-yz.russel053.com
198.251.67.7 #agh.fltn.us
222.99.114.172 #agh.printk.info
106.14.73.186 #agh.xinfeng16m.top
104.21.48.226 #ahadns.net
172.67.188.62 #ahadns.net
47.99.86.122 #alidns.51top.info
36.250.214.90 #alidns.cb1999.top
203.119.144.59 #alidns.com
36.250.214.90 #alidns2.cb1999.top
194.242.2.9 #all.dns.mullvad.net
172.67.207.140 #alleesph.online
104.21.22.226 #alleesph.online
gw-nl02.brueggus.de. #ams01.dnscry.pt
198.140.141.46 #ams01.dnscry.pt
vps303.brueggus.de. #ams02.dnscry.pt
45.86.162.110 #ams02.dnscry.pt
146.56.160.153 #ant.dns.qwer.pw
internetsehat.bebasid.com. #antivirus.bebasid.com
103.87.68.196 #antivirus.bebasid.com
91.239.100.100 #anycast.censurfridns.dk
45.90.30.0 #anycast.dns.nextdns.io
45.90.28.0 #anycast.dns.nextdns.io
91.239.100.100 #anycast.uncensoreddns.org
104.17.143.163 #api.cloudflareclient.com
104.16.80.230 #api.cloudflareclient.com
5.135.183.5 #aqua.is.my.waifu.cz
76.76.21.21 #arashi.eu.org
109.250.205.101 #area51.mywire.org
172.67.145.24 #armorrush.eu.org
104.21.79.108 #armorrush.eu.org
45.77.31.67 #at.pzhg.me
vps305.brueggus.de. #atl01.dnscry.pt
170.249.237.154 #atl01.dnscry.pt
146.19.0.66 #au-syd.doh.sb
54.79.3.18 #au01.dns4me.net
52.63.91.105 #au02.dns4me.net
140.238.48.65 #awan.ftp.sh
192.3.212.122 #b-ii.com
194.242.2.4 #base.dns.mullvad.net
172.67.195.148 #basic.bravedns.com
104.21.49.234 #basic.bravedns.com
104.21.83.62 #basic.rethinkdns.com
172.67.214.246 #basic.rethinkdns.com
18.195.195.69 #bl.eq.md
45.133.117.91 #blackhole.myon.lu
104.26.2.137 #blitz-setup.ahadns.com
104.26.3.137 #blitz-setup.ahadns.com
172.67.69.149 #blitz-setup.ahadns.com
104.26.3.137 #blitz.ahadns.com
172.67.69.149 #blitz.ahadns.com
104.26.2.137 #blitz.ahadns.com
abstergo.it. #block.abstergo.it
35.195.3.94 #block.abstergo.it
134.195.187.39 #blocker.thethorsens.org
176.147.243.164 #blockerads.multimediaconcept.fr
8.218.96.243 #blog.kimiblock.top
8.210.222.108 #blog.kimiblock.top
34.80.137.209 #bluemood.me
vps344.brueggus.de. #bom01.dnscry.pt
103.111.114.25 #bom01.dnscry.pt
216.238.107.112 #br.servers.legat.ml
104.21.49.234 #bravedns.com
172.67.195.148 #bravedns.com
89.45.251.238 #buc-m2.illmods.com
46.101.110.57 #c.cicitt.ch
ca-yyz.doh.sb. #ca-yyc.doh.sb
216.128.181.13 #ca-yyc.doh.sb
104.248.104.66 #ca.doh.cloudveil.org
99.79.182.170 #ca01.dns4me.net
169.48.27.179 #ca02.dns4me.net
85.214.107.17 #callies-online.site
141.11.93.65 #catdns.org
172.67.153.195 #cdn.0ms.dev
104.21.88.221 #cdn.0ms.dev
194.233.68.107 #chandr1000.net
49.12.230.234 #chaos-system.de
172.64.41.3 #chrome.cloudflare-dns.com
162.159.61.3 #chrome.cloudflare-dns.com
steering.nextdns.io. #chromium.dns.nextdns.io
213.227.173.235 #chromium.dns.nextdns.io
170.39.224.134 #chromium.dns.nextdns.io
49.12.223.2 #clean.dnsforge.de
49.12.43.208 #clean.dnsforge.de
208.167.248.121 #cleanbrowsing.org
67.218.159.221 #clearweb.woodbridge.club
173.243.64.102 #clientdns3.softcom.net
43.154.23.198 #cloud.198.games
